-,19-Mar-19,Caretta caretta,Witsands
2019_11,26-Mar-19,Caretta caretta,Struisbaai
2019_12,26-Mar-19,Caretta caretta,Struisbaai
2019_13,01-Apr-19,Caretta caretta,Pearly Beach
2019_14,02-Apr-19,Caretta caretta,Hermanus
2019_15,02-Apr-19,Caretta caretta,Hermanus
2019_16,02-Apr-19,Caretta caretta,Hermanus
2019_17,02-Apr-19,Caretta caretta,Hermanus
2019_18,02-Apr-19,Caretta caretta,Hermanus
2019_19,02-Apr-19,Caretta caretta,Hermanus
2019_20,02-Apr-19,Caretta caretta,Hermanus
2019_21,02-Apr-19,Caretta caretta,Hermanus
2019_22,02-Apr-19,Caretta caretta,Hermanus
2019_23,02-Apr-19,Caretta caretta,Hermanus
-,02-Apr-19,Caretta caretta,Gaansbaai
-,02-Apr-19,Dermochelys coriacea,Gaansbaai
2019_26,03-Apr-19,Caretta caretta,Sedgefield
2019_27,03-Apr-19,Caretta caretta,Knysna
2019_28,03-Apr-19,Caretta caretta,Gaansbaai
2019_29,03-Apr-19,Caretta caretta,Hermanus
2019_30,03-Apr-19,Caretta caretta,Hermanus
2019_31,03-Apr-19,Caretta caretta,Hermanus
2019_32,04-Apr-19,Caretta caretta,Hermanus
2019_33,04-Apr-19,Caretta caretta,Stilbaai
2019_34,06-Apr-19,Caretta caretta,Hermanus
2019_35,12-Apr-19,Caretta caretta,Struisbaai
2019_36,21-Apr-19,Caretta caretta,Stilbaai
2019_37,23-Apr-19,Caretta caretta,Muizenberg
2019_38,23-Apr-19,Caretta caretta,Struisbaai
2019_39,23-Apr-19,Caretta caretta,Struisbaai
2019_40,25-Apr-19,Caretta caretta,Struisbaai
2019_41,25-Apr-19,Caretta caretta,Struisbaai
2019_42,25-Apr-19,Caretta caretta,Struisbaai
2019_43,25-Apr-19,Caretta caretta,Struisbaai
2019_44,25-Apr-19,Caretta caretta,Struisbaai
2019_45,25-Apr-19,Caretta caretta,Struisbaai
2019_46,25-Apr-19,Caretta caretta,Struisbaai
2019_47,25-Apr-19,Caretta caretta,Struisbaai
2019_48,25-Apr-19,Caretta caretta,Struisbaai
2019_49,25-Apr-19,Caretta caretta,Struisbaai
2019_50,25-Apr-19,Caretta caretta,Struisbaai
2019_51,25-Apr-19,Caretta caretta,Struisbaai
2019_52,25-Apr-19,Caretta caretta,Struisbaai
2019_53,25-Apr-19,Caretta caretta,Struisbaai
2019_54,25-Apr-19,Caretta caretta,Struisbaai
2019_55,25-Apr-19,Caretta caretta,Struisbaai
2019_56,25-Apr-19,Caretta caretta,Struisbaai
2019_57,25-Apr-19,Caretta caretta,Struisbaai
2019_58,25-Apr-19,Caretta caretta,Struisbaai
2019_59,25-Apr-19,Caretta caretta,Struisbaai
2019_60,25-Apr-19,Caretta caretta,Struisbaai
2019_61,25-Apr-19,Caretta caretta,Struisbaai
2019_62,25-Apr-19,Caretta caretta,Struisbaai
2019_63,25-Apr-19,Caretta caretta,Struisbaai
-,25-Apr-19,Caretta caretta,Struisbaai
-,25-Apr-19,Caretta caretta,Struisbaai
2019_66,25-Apr-19,Caretta caretta,Struisbaai
2019_67,25-Apr-19,Caretta caretta,Struisbaai
2019_68,25-Apr-19,Caretta caretta,Struisbaai
2019_69,25-Apr-19,Caretta caretta,Struisbaai
2019_70,25-Apr-19,Caretta caretta,Struisbaai
2019_71,25-Apr-19,Caretta caretta,Struisbaai
2019_72,25-Apr-19,Caretta caretta,Struisbaai
2019_73,25-Apr-19,Caretta caretta,Struisbaai
2019_74,25-Apr-19,Caretta caretta,Struisbaai
2019_75,25-Apr-19,Caretta caretta,Struisbaai
2019_76,25-Apr-19,Caretta caretta,Struisbaai
2019_77,25-Apr-19,Caretta caretta,Struisbaai
2019_78,25-Apr-19,Caretta caretta,Struisbaai
2019_79,25-Apr-19,Caretta caretta,Struisbaai
2019_80,25-Apr-19,Caretta caretta,Struisbaai
2019_81,25-Apr-19,Caretta caretta,Struisbaai
2019_82,25-Apr-19,Caretta caretta,Struisbaai
2019_83,25-Apr-19,Caretta caretta,Struisbaai
2019_84,25-Apr-19,Caretta caretta,Struisbaai
2019_85,25-Apr-19,Caretta caretta,Struisbaai
2019_86,25-Apr-19,Caretta caretta,Struisbaai
2019_87,25-Apr-19,Caretta caretta,Struisbaai
2019_88,25-Apr-19,Caretta caretta,Struisbaai
2019_89,25-Apr-19,Caretta caretta,Struisbaai
2019_90,25-Apr-19,Caretta caretta,Struisbaai
2019_91,25-Apr-19,Caretta caretta,Struisbaai
2019_92,25-Apr-19,Caretta caretta,Plettenberg Bay
2019_93,25-Apr-19,Caretta caretta,Plettenberg Bay
2019_94,25-Apr-19,Caretta caretta,Plettenberg Bay
2019_95,25-Apr-19,Caretta caretta,Plettenberg Bay
2019_96,25-Apr-19,Caretta caretta,Plettenberg Bay
2019_97,25-Apr-19,Caretta caretta,Plettenberg Bay
2019_98,26-Apr-19,Caretta caretta,Struisbaai
2019_99,26-Apr-19,Caretta caretta,Plettenberg Bay
2019_100,26-Apr-19,Caretta caretta,Plettenberg Bay
2019_101,26-Apr-19,Caretta caretta,Struisbaai
2019_102,26-Apr-19,Caretta caretta,Struisbaai
2019_103,26-Apr-19,Caretta caretta,Struisbaai
2019_104,26-Apr-19,Caretta caretta,Struisbaai
2019_105,26-Apr-19,Caretta caretta,Struisbaai
2019_106,26-Apr-19,Caretta caretta,Struisbaai
2019_107,26-Apr-19,Caretta caretta,Struisbaai
2019_108,26-Apr-19,Caretta caretta,Struisbaai
2019_109,26-Apr-19,Caretta caretta,Struisbaai
2019_110,26-Apr-19,Caretta caretta,Struisbaai
2019_111,26-Apr-19,Caretta caretta,Struisbaai
2019_112,26-Apr-19,Caretta caretta,Struisbaai
2019_113,26-Apr-19,Caretta caretta,Struisbaai
2019_114,26-Apr-19,Caretta caretta,Struisbaai
2019_115,27-Apr-19,Caretta caretta,Struisbaai
2019_116,27-Apr-19,Caretta caretta,Struisbaai
2019_117,27-Apr-19,Caretta caretta,Struisbaai
2019_118,28-Apr-19,Caretta caretta,Witsands
2019_119,28-Apr-19,Caretta caretta,Struisbaai
2019_120,28-Apr-19,Caretta caretta,Struisbaai
2019_121,29-Apr-19,Caretta caretta,Gordons Bay
2019_122,29-Apr-19,Caretta caretta,Struisbaai
2019_123,29-Apr-19,Caretta caretta,Struisbaai
2019_124,29-Apr-19,Caretta caretta,Struisbaai
